city,country,lat,lng
Lisbon,Portugal,38.7227,-9.1449
Tampa,United States,27.9942,-82.4451
Jinan,China,36.675,116.995
Fukuoka,Japan,33.595,130.41
Campinas,Brazil,-22.9,-47.1
Denver,United States,39.7621,-104.8759
Kaohsiung,Taiwan,22.6333,120.2666
Quezon City,Philippines,14.6504,121.03
Katowice,Poland,50.2604,19.02
Aleppo,Syria,36.23,37.17
Durban,South Africa,-29.865,30.98
Kyiv,Ukraine,50.4334,30.5166
Lucknow,India,26.855,80.915
Giza,Egypt,30.01,31.19
Zhengzhou,China,34.755,113.6651
Taichung,Taiwan,24.1521,120.6817
Brooklyn,United States,40.6501,-73.9496
Ibadan,Nigeria,7.38,3.93
Faisalabad,Pakistan,31.41,73.11
Fuzhou,China,26.08,119.3
Changsha,China,28.2,112.97
Dakar,Senegal,14.7158,-17.4731
İzmir,Turkey,38.4361,27.1518
Xiangtan,China,27.8504,112.9
Lanzhou,China,36.056,103.792
Incheon,"Korea, South",37.4761,126.6422
Sapporo,Japan,43.075,141.34
Xiamen,China,24.45,118.08
Guayaquil,Ecuador,-2.22,-79.92
George Town,Malaysia,5.4136,100.3294
Mashhad,Iran,36.27,59.57
Damascus,Syria,33.5,36.3
Daegu,"Korea, South",35.8668,128.607
Nāgpur,India,21.17,79.09
Lianshan,China,40.7503,120.83
Shijiazhuang,China,38.05,114.48
Tunis,Tunisia,36.8028,10.1797
Vienna,Austria,48.2,16.3666
Jilin,China,43.85,126.55
Omdurman,Sudan,15.6167,32.48
Bandung,Indonesia,-6.95,107.57
Bekasi,Indonesia,-6.2173,106.9723
Mannheim,Germany,49.5004,8.47
Nanchang,China,28.68,115.88
Wenzhou,China,28.02,120.6501
Queens,United States,40.7498,-73.7976
Vancouver,Canada,49.2734,-123.1216
Birmingham,United Kingdom,52.475,-1.92
Cali,Colombia,3.4,-76.5
Naples,Italy,40.84,14.245
Sendai,Japan,38.2871,141.0217
Manchester,United Kingdom,53.5004,-2.248
Puebla,Mexico,19.05,-98.2
Tripoli,Libya,32.8925,13.18
Tashkent,Uzbekistan,41.3117,69.2949
Havana,Cuba,23.132,-82.3642
Gaoping,China,30.7804,106.13
Baltimore,United States,39.3051,-76.6144
Nanning,China,22.82,108.32
Belém,Brazil,-1.45,-48.48
Patna,India,25.625,85.13
Santo Domingo,Dominican Republic,18.4701,-69.9001
Ürümqi,China,43.805,87.575
Zaozhuang,China,34.88,117.57
Baku,Azerbaijan,40.3953,49.8622
Accra,Ghana,5.55,-0.2167
Yantai,China,37.5304,121.4
Medan,Indonesia,3.58,98.65
Santa Cruz,Bolivia,-17.7539,-63.226
Tongshan,China,34.28,117.18
Riverside,United States,33.9381,-117.3948
Linyi,China,35.08,118.33
St. Louis,United States,38.6358,-90.2451
Las Vegas,United States,36.2333,-115.2654
Maracaibo,Venezuela,10.73,-71.66
Kuwait City,Kuwait,29.3697,47.9783
Ad Dammām,Saudi Arabia,26.4282,50.0997
Portland,United States,45.5371,-122.65
Haikou,China,20.05,110.32
Hiroshima,Japan,34.3878,132.4429
Baotou,China,40.6522,109.822
Hefei,China,31.85,117.28
Indore,India,22.7151,75.865
Goiânia,Brazil,-16.72,-49.3
Sanaa,Yemen,15.3547,44.2066
San Antonio,United States,29.4658,-98.5254
Port-au-Prince,Haiti,18.541,-72.336
Haiphong,Vietnam,20.83,106.6801
Suzhou,China,33.6361,116.9789
Nanyang,China,33.0004,112.53
Bucharest,Romania,44.4334,26.0999
Ningbo,China,29.88,121.55
Douala,Cameroon,4.0604,9.71
Tangshan,China,39.6243,118.1944
Tainan,Taiwan,23,120.2
Xiping,China,40.08,113.3
Asunción,Paraguay,-25.2964,-57.6415
Saidu Sharif,Pakistan,34.75,72.35
Brisbane,Australia,-27.455,153.0351
Rawalpindi,Pakistan,33.6,73.04
Sacramento,United States,38.5667,-121.4683
Beirut,Lebanon,33.872,35.5097
San Jose,United States,37.3021,-121.8489
Minsk,Belarus,53.9,27.5666
Kyōto,Japan,35.03,135.75
Barranquilla,Colombia,10.96,-74.8
Orlando,United States,28.4772,-81.3369
Shuyangzha,China,34.1299,118.7734
Valencia,Venezuela,10.23,-67.98
Hamburg,Germany,53.55,10
Vadodara,India,22.31,73.18
Manaus,Brazil,-3.1,-60
Shangqiu,China,34.4504,115.65
Wuxi,China,31.58,120.3
Palembang,Indonesia,-2.98,104.75
Brussels,Belgium,50.8333,4.3333
Essen,Germany,51.45,7.0166
Cleveland,United States,41.4767,-81.6805
Bhopal,India,23.25,77.41
Hohhot,China,40.82,111.66
Pittsburgh,United States,40.4396,-79.9763
Luoyang,China,34.68,112.4701
Santos,Brazil,-23.9537,-46.3329
Jingling,China,30.6501,113.16
Warsaw,Poland,52.25,21
Rabat,Morocco,34.0253,-6.8361
Vitória,Brazil,-20.324,-40.366
Quito,Ecuador,-0.215,-78.5001
Antananarivo,Madagascar,-18.9166,47.5166
Coimbatore,India,11,76.95
Daqing,China,46.58,125
Lu’an,China,31.7503,116.48
Sanzhou,China,30.82,108.4
Budapest,Hungary,47.5,19.0833
Turin,Italy,45.0704,7.67
Suzhou,China,31.3005,120.62
Ludhiāna,India,30.9278,75.8723
Cincinnati,United States,39.1412,-84.506
Kumasi,Ghana,6.69,-1.63
Manhattan,United States,40.7834,-73.9662
Qiqihar,China,47.345,123.99
Anshan,China,41.115,122.94
Austin,United States,30.3006,-97.7517
Zhongli,Taiwan,24.965,121.2168
Handan,China,36.58,114.48
Tai’an,China,36.2,117.1201
Eşfahān,Iran,32.7,51.7
Kansas City,United States,39.1239,-94.5541
Yaoundé,Cameroon,3.8667,11.5167
Shantou,China,23.37,116.67
Āgra,India,27.1704,78.015
Zhanjiang,China,21.2,110.38
La Paz,Bolivia,-16.498,-68.15
Kalyān,India,19.2502,73.1602
Abuja,Nigeria,9.0833,7.5333
Harare,Zimbabwe,-17.8178,31.0447
Indianapolis,United States,39.7771,-86.1458
Xiantao,China,30.3704,113.44
Khulna,Bangladesh,22.84,89.56
Weifang,China,36.7204,119.1001
Tijuana,Mexico,32.5,-117.08
Santiago,Dominican Republic,19.5,-70.67
Xinyang,China,32.1304,114.07
Luzhou,China,28.88,105.38
Perth,Australia,-31.955,115.84
Toluca,Mexico,19.3304,-99.67
Vishākhapatnam,India,17.73,83.305
Leeds,United Kingdom,53.83,-1.58
Kōbe,Japan,34.68,135.17
Columbus,United States,39.986,-82.9851
Multan,Pakistan,30.2,71.455
Kochi,India,10.015,76.2239
Montevideo,Uruguay,-34.858,-56.1711
Gujranwala,Pakistan,32.1604,74.185
Niterói,Brazil,-22.9,-43.1
Ganzhou,China,25.92,114.95
Florence,Italy,43.78,11.25
Liuzhou,China,24.28,109.25
Bamako,Mali,12.65,-8
Conakry,Guinea,9.5315,-13.6802
Bursa,Turkey,40.2,29.07
León de los Aldama,Mexico,21.15,-101.7
Virginia Beach,United States,36.7335,-76.0435
Nāsik,India,20.0004,73.78
Fushun,China,41.8654,123.87
Changde,China,29.03,111.68
Daejeon,"Korea, South",36.3355,127.425
Charlotte,United States,35.2079,-80.8304
Phnom Penh,Cambodia,11.55,104.9166
Neijiang,China,29.5804,105.05
Quanzhou,China,24.9,118.58
Kharkiv,Ukraine,50,36.25
Hyderabad City,Pakistan,25.38,68.375
Bronx,United States,40.8501,-73.8662
Lomé,Togo,6.1319,1.2228
Córdoba,Argentina,-31.4,-64.1823
Huainan,China,32.63,116.98
Doha,Qatar,25.2866,51.533
Kuala Lumpur,Malaysia,3.1667,101.7
Maputo,Mozambique,-25.9553,32.5892
Kaduna,Nigeria,10.52,7.44
Gwangju,"Korea, South",35.171,126.9104
Kawanakajima,Japan,35.53,139.705
San Salvador,El Salvador,13.71,-89.203
Suining,China,30.5333,105.5333
Lyon,France,45.77,4.83
Karaj,Iran,35.8004,50.97
Kampala,Uganda,0.3167,32.5833
Tabrīz,Iran,38.0863,46.3012
The Hague,Netherlands,52.08,4.27
Davao,Philippines,7.11,125.63
Marseille,France,43.29,5.375
Meerut,India,29.0004,77.7
Mianyang,China,31.47,104.77
Semarang,Indonesia,-6.9666,110.42
Farīdābād,India,28.4333,77.3167
Novosibirsk,Russia,55.03,82.96
Mecca,Saudi Arabia,21.43,39.82
Dubai,United Arab Emirates,25.23,55.28
Milwaukee,United States,43.0642,-87.9673
Auckland,New Zealand,-36.8481,174.763
Ma’anshan,China,31.7304,118.48
Brazzaville,Congo (Brazzaville),-4.2592,15.2847
Yiyang,China,28.6004,112.33
Vārānasi,India,25.33,83
Lubumbashi,Congo (Kinshasa),-11.68,27.48
Juárez,Mexico,31.6904,-106.49
Ghāziābād,India,28.6604,77.4084
Pretoria,South Africa,-25.7069,28.2294
Heze,China,35.23,115.45
Porto,Portugal,41.15,-8.62
Āsansol,India,23.6833,86.9833
Lusaka,Zambia,-15.4166,28.2833
Changzhou,China,31.78,119.97
Mosul,Iraq,36.345,43.145
Yekaterinburg,Russia,56.85,60.6
Peshawar,Pakistan,34.005,71.535
Mandalay,Burma,21.97,96.085
Jamshedpur,India,22.7875,86.1975
Mbuji-Mayi,Congo (Kinshasa),-6.15,23.6
Madura,India,9.92,78.12
Adana,Turkey,36.995,35.32
Sheffield,United Kingdom,53.3667,-1.5
Jabalpur,India,23.1751,79.9551
San José,Costa Rica,9.935,-84.0841
Panama City,Panama,8.968,-79.533
Nizhniy Novgorod,Russia,56.333,44.0001
Chifeng,China,42.27,118.95
Duisburg,Germany,51.43,6.75
Munich,Germany,48.1299,11.575
Huaiyin,China,33.58,119.03
Stockholm,Sweden,59.3508,18.0973
Makassar,Indonesia,-5.14,119.432
Rājkot,India,22.31,70.8
Dhanbād,India,23.8004,86.42
Mudanjiang,China,44.575,129.59
Geneva,Switzerland,46.21,6.14
Shīrāz,Iran,29.63,52.57
Huzhou,China,30.8704,120.1
Beidao,China,34.6,105.92
Shuangshui,China,26.5944,104.8333
Düsseldorf,Germany,51.2204,6.78
Gaozhou,China,21.9204,110.87
Sevilla,Spain,37.405,-5.98
Amritsar,India,31.64,74.87
Vila Velha,Brazil,-20.3676,-40.318
Vila Velha,Brazil,3.2167,-51.2167
Almaty,Kazakhstan,43.325,76.915
Providence,United States,41.823,-71.4187
Warangal,India,18.01,79.58
Rosario,Argentina,-32.9511,-60.6663
Allahābād,India,25.455,81.84
Benin City,Nigeria,6.3405,5.62
Jining,China,35.4004,116.55
Maceió,Brazil,-9.62,-35.73
Sofia,Bulgaria,42.6833,23.3167
Abbottabad,Pakistan,34.1495,73.1995
Benghazi,Libya,32.1167,20.0667
Cilacap,Indonesia,-7.7188,109.0154
Prague,Czechia,50.0833,14.466
Glasgow,United Kingdom,55.8744,-4.2507
Leshan,China,29.5671,103.7333
Jacksonville,United States,30.3322,-81.6749
Ouagadougou,Burkina Faso,12.3703,-1.5247
Ottawa,Canada,45.4167,-75.7
Adelaide,Australia,-34.935,138.6
Shangrao,China,28.4704,117.97
Torreón,Mexico,25.5701,-103.42
Srīnagar,India,34.1,74.815
Bezwāda,India,16.52,80.63
Samara,Russia,53.195,50.1513
Omsk,Russia,54.99,73.4
Newcastle,Australia,-32.8453,151.815
Yulin,China,22.63,110.15
Namp’o,"Korea, North",38.7669,125.4524
Xianyang,China,34.3456,108.7147
Cagayan de Oro,Philippines,8.4508,124.6853
Cần Thơ,Vietnam,10.05,105.77
Barquisimeto,Venezuela,10.05,-69.3
Helsinki,Finland,60.1756,24.9341
Kazan’,Russia,55.7499,49.1263
Aurangābād,India,19.8957,75.3203
Calgary,Canada,51.083,-114.08
Ciudad Nezahualcóyotl,Mexico,19.41,-99.03
Zürich,Switzerland,47.38,8.55
Baoding,China,38.8704,115.48
Zigong,China,29.4,104.78
Sharjah,United Arab Emirates,25.3714,55.4065
Yerevan,Armenia,40.1812,44.5136
Mogadishu,Somalia,2.0667,45.3667
Tbilisi,Georgia,41.725,44.7908
Ankang,China,32.68,109.02
Huambo,Angola,-12.75,15.76
Ikare,Nigeria,7.5304,5.76
Belgrade,Serbia,44.8186,20.468
Salt Lake City,United States,40.7774,-111.93
Bhilai,India,21.2167,81.4333
Jinhua,China,29.12,119.65
Chelyabinsk,Russia,55.155,61.4387
Natal,Brazil,-5.78,-35.24
Dushanbe,Tajikistan,38.56,68.7739
Copenhagen,Denmark,55.6786,12.5635
Changwon,"Korea, South",35.2191,128.5836
Zhuzhou,China,27.83,113.15
Suwon,"Korea, South",37.2578,127.0109
Nashville,United States,36.1715,-86.7843
Vereeniging,South Africa,-26.6496,27.96
Xiangyang,China,32.02,112.13
Memphis,United States,35.1046,-89.9773
Ulsan,"Korea, South",35.5467,129.317
Amman,Jordan,31.95,35.9333
Mizhou,China,35.99,119.3801
Richmond,United States,37.5295,-77.4756
Dublin,Ireland,53.3331,-6.2489
Edmonton,Canada,53.55,-113.5
Solāpur,India,17.6704,75.9
Rostov-na-Donu,Russia,47.2346,39.7127
Dnipro,Ukraine,48.48,35
Xining,China,36.62,101.77
Zhangjiakou,China,40.83,114.93
Lille,France,50.65,3.08
Ranchi,India,23.37,85.33
Gaziantep,Turkey,37.075,37.385
Monrovia,Liberia,6.3106,-10.8048
São Luís,Brazil,-2.516,-44.266
Amsterdam,Netherlands,52.35,4.9166
Jerusalem,Israel,31.7784,35.2066
New Orleans,United States,30.0687,-89.9288
Guatemala City,Guatemala,14.6211,-90.527
Zhuhai,China,22.2769,113.5678
Florianópolis,Brazil,-27.58,-48.52
Port Elizabeth,South Africa,-33.97,25.6
Jiamusi,China,46.83,130.35
Port Harcourt,Nigeria,4.81,7.01
Raleigh,United States,35.8324,-78.6438
Ufa,Russia,54.79,56.04
Hengyang,China,26.88,112.59
Benxi,China,41.3304,123.75
Louisville,United States,38.1663,-85.6485
Haifa,Israel,32.8204,34.98
Medina,Saudi Arabia,24.5,39.58
Bucaramanga,Colombia,7.1301,-73.1259
Maracay,Venezuela,10.2469,-67.5958
Rotterdam,Netherlands,51.92,4.48
Homs,Syria,34.73,36.72
Cologne,Germany,50.93,6.95
Qinhuangdao,China,39.9304,119.62
Fès,Morocco,34.0546,-5.0004
N’Djamena,Chad,12.1131,15.0491
Tegucigalpa,Honduras,14.102,-87.2175
Kingston,Jamaica,17.9771,-76.7674
Nay Pyi Taw,Burma,19.7666,96.1186
Djibouti,Djibouti,11.595,43.148
Managua,Nicaragua,12.153,-86.2685
Niamey,Niger,13.5167,2.1167
Tirana,Albania,41.3275,19.8189
Kathmandu,Nepal,27.7167,85.3166
Ulaanbaatar,Mongolia,47.9167,106.9166
Kigali,Rwanda,-1.9536,30.0605
Bishkek,Kyrgyzstan,42.8731,74.5852
Oslo,Norway,59.9167,10.75
Bangui,Central African Republic,4.3666,18.5583
Freetown,Sierra Leone,8.47,-13.2342
Islamabad,Pakistan,33.7,73.1666
Cotonou,Benin,6.4,2.52
Vientiane,Laos,17.9667,102.6
Riga,Latvia,56.95,24.1
Nouakchott,Mauritania,18.0864,-15.9753
Muscat,Oman,23.6133,58.5933
Ashgabat,Turkmenistan,37.95,58.3833
Zagreb,Croatia,45.8,16
Sarajevo,Bosnia And Herzegovina,43.85,18.383
Chisinau,Moldova,47.005,28.8577
Lilongwe,Malawi,-13.9833,33.7833
Asmara,Eritrea,15.3333,38.9333
Abu Dhabi,United Arab Emirates,24.4667,54.3666
Port Louis,Mauritius,-20.1666,57.5
Libreville,Gabon,0.3854,9.458
Manama,Bahrain,26.2361,50.5831
Vilnius,Lithuania,54.6834,25.3166
Skopje,Macedonia,42,21.4335
Bloemfontein,South Africa,-29.12,26.2299
Bratislava,Slovakia,48.15,17.117
Bissau,Guinea-Bissau,11.865,-15.5984
Tallinn,Estonia,59.4339,24.728
Wellington,New Zealand,-41.3,174.7833
Valletta,Malta,35.8997,14.5147
Maseru,Lesotho,-29.3167,27.4833
Nur-Sultan,Kazakhstan,51.1811,71.4278
Bujumbura,Burundi,-3.3761,29.36
Canberra,Australia,-35.283,149.129
New Delhi,India,28.6,77.2
Ljubljana,Slovenia,46.0553,14.515
Porto-Novo,Benin,6.4833,2.6166
Bandar Seri Begawan,Brunei,4.8833,114.9333
Port of Spain,Trinidad And Tobago,10.652,-61.517
Port Moresby,Papua New Guinea,-9.4647,147.1925
Bern,Switzerland,46.9167,7.467
Windhoek,Namibia,-22.57,17.0835
Georgetown,Guyana,6.802,-58.167
Paramaribo,Suriname,5.835,-55.167
Dili,Timor-Leste,-8.5594,125.5795
Nassau,"Bahamas, The",25.0834,-77.35
Sucre,Bolivia,-19.041,-65.2595
Nicosia,Cyprus,35.1667,33.3666
Dodoma,Tanzania,-6.1833,35.75
Colombo,Sri Lanka,6.932,79.8578
Gaborone,Botswana,-24.6463,25.9119
Yamoussoukro,Côte D’Ivoire,6.8184,-5.2755
Bridgetown,Barbados,13.102,-59.6165
Suva,Fiji,-18.133,178.4417
Reykjavík,Iceland,64.15,-21.95
Malabo,Equatorial Guinea,3.75,8.7833
Willemstad,Curaçao,12.2004,-69.02
Podgorica,Montenegro,42.466,19.2663
Moroni,Comoros,-11.7042,43.2402
Sri Jayewardenepura Kotte,Sri Lanka,6.9,79.95
Praia,Cabo Verde,14.9167,-23.5167
Male,Maldives,4.1667,73.4999
Juba,South Sudan,4.83,31.58
Luxembourg,Luxembourg,49.6117,6.13
Thimphu,Bhutan,27.473,89.639
Mbabane,Swaziland,-26.3167,31.1333
São Tomé,Sao Tome And Principe,0.3334,6.7333
Honiara,Solomon Islands,-9.438,159.9498
Oranjestad,Aruba,12.5304,-70.029
Apia,Samoa,-13.8415,-171.7386
Andorra la Vella,Andorra,42.5,1.5165
Kingstown,Saint Vincent And The Grenadines,13.1483,-61.2121
Port-Vila,Vanuatu,-17.7334,168.3166
Banjul,"Gambia, The",13.4539,-16.5917
Nuku‘alofa,Tonga,-21.1385,-175.2206
Castries,Saint Lucia,14.002,-61
Monaco,Monaco,43.7396,7.4069
Vaduz,Liechtenstein,47.1337,9.5167
Saint John’s,Antigua And Barbuda,17.118,-61.85
Saint George’s,Grenada,12.0526,-61.7416
Victoria,Seychelles,-4.6166,55.45
San Marino,San Marino,43.9172,12.4667
Tarawa,Kiribati,1.3382,173.0176
Majuro,Marshall Islands,7.103,171.38
Roseau,Dominica,15.301,-61.387
Basseterre,Saint Kitts And Nevis,17.302,-62.717
Belmopan,Belize,17.252,-88.7671
Pago Pago,American Samoa,-14.274,-170.7046
Lobamba,Swaziland,-26.4667,31.2
Funafuti,Tuvalu,-8.5167,179.2166
Palikir,"Micronesia, Federated States Of",6.9166,158.15
Capitol Hill,Northern Mariana Islands,15.2137,145.7546
Hagåtña,Guam,13.4745,144.7504
Al Quds,West Bank,31.7764,35.2269
Philipsburg,Sint Maarten,18.0255,-63.045
Gitega,Burundi,-3.4271,29.9246
Pristina,Kosovo,42.6666,21.1724
Ngerulmud,Palau,7.5,134.6242
Aden,Yemen,12.7797,45.0095
Cochabamba,Bolivia,-17.41,-66.17
Yongzhou,China,26.2304,111.62
Baoshan,China,25.12,99.15
Quảng Hà,Vietnam,16.06,108.25
Kitaku,Japan,33.8704,130.82
Perm’,Russia,58,56.25
Ahvāz,Iran,31.28,48.72
Jodhpur,India,26.2918,73.0168
San Luis Potosí,Mexico,22.17,-101
Odesa,Ukraine,46.49,30.71
Yinchuan,China,38.468,106.273
Jiaxing,China,30.7704,120.75
Joinvile,Brazil,-26.32,-48.8399
Donets’k,Ukraine,48,37.83
Guilin,China,25.28,110.28
Dahūk,Iraq,36.8667,43
Volgograd,Russia,48.71,44.5
Guwāhāti,India,26.16,91.77
Yichun,China,27.8333,114.4
Yangquan,China,37.87,113.57
Natal,Brazil,-6.9838,-60.2699
Chandigarh,India,30.72,76.78
Gwalior,India,26.23,78.1801
Hamamatsu,Japan,34.7181,137.7327
Qom,Iran,34.65,50.95
Jixi,China,45.3,130.97
Mérida,Mexico,20.9666,-89.6166
Xin’an,China,34.38,118.35
Querétaro,Mexico,20.63,-100.38
Pingxiang,China,27.62,113.85
João Pessoa,Brazil,-7.1011,-34.8761
Klang,Malaysia,3.0204,101.55
Jinzhou,China,41.1204,121.1
Oklahoma City,United States,35.4676,-97.5137
Salerno,Italy,40.6804,14.7699
Thiruvananthapuram,India,8.5,76.95
Calicut,India,11.2504,75.77
Trichinopoly,India,10.81,78.69
Ogbomoso,Nigeria,8.13,4.24
General Santos,Philippines,6.1108,125.1747
Huế,Vietnam,16.47,107.58
Bacolod,Philippines,10.6317,122.9817
Nantong,China,32.0304,120.825
Foshan,China,23.0301,113.12
Sŏngnam,"Korea, South",37.4386,127.1378
Bridgeport,United States,41.1918,-73.1953
Nice,France,43.715,7.265
Buffalo,United States,42.9017,-78.8487
Erbil,Iraq,36.179,44.0086
Krasnoyarsk,Russia,56.014,92.866
Olinda,Brazil,-8,-34.85
Antwerp,Belgium,51.2204,4.415
Konya,Turkey,37.875,32.475
Bogor,Indonesia,-6.57,106.75
Hartford,United States,41.7661,-72.6834
Huaibei,China,33.9504,116.75
Xinyu,China,27.8,114.93
Teresina,Brazil,-5.095,-42.78
Naha,Japan,26.2072,127.673
Goyang,"Korea, South",37.6527,126.8372
Nangandao,China,35.3204,113.87
Yibin,China,28.77,104.57
Aba,Nigeria,5.1004,7.35
Maiduguri,Nigeria,11.85,13.16
Az Zarqā’,Jordan,32.07,36.1
Tarsus,Turkey,36.9204,34.88
Bengbu,China,32.95,117.33
Mendoza,Argentina,-32.8833,-68.8166
Hubli,India,15.36,75.125
Concepción,Chile,-36.83,-73.05
Zaria,Nigeria,11.08,7.71
Dengtalu,China,36.08,114.35
Cartagena,Colombia,10.3997,-75.5144
Mysore,India,12.31,76.66
Mexicali,Mexico,32.65,-115.48
Tongliao,China,43.62,122.27
Mombasa,Kenya,-4.04,39.6899
Newcastle upon Tyne,United Kingdom,55.0004,-1.6
Novo Hamburgo,Brazil,-29.7096,-51.14
Callao,Peru,-12.07,-77.135
Bilbao,Spain,43.25,-2.93
Johor Bahru,Malaysia,1.48,103.73
Raipur,India,21.235,81.635
Xiaoxita,China,30.7,111.28
Fort Worth,United States,32.7812,-97.3472
Salem,India,11.67,78.1801
Yangjiang,China,21.8504,111.97
Marrakech,Morocco,31.63,-8
Kaifeng Chengguanzhen,China,34.85,114.35
Dandong,China,40.1436,124.3936
Al Başrah,Iraq,30.5135,47.8136
Aguascalientes,Mexico,21.8795,-102.2904
Tucson,United States,32.1545,-110.8782
Okayama,Japan,34.672,133.9171
Bucheon,"Korea, South",37.4989,126.7831
Xuanzhou,China,30.9525,118.7553
Bandar Lampung,Indonesia,-5.43,105.27
Rizhao,China,35.4304,119.45
Palermo,Italy,38.125,13.35
Caerdydd,United Kingdom,51.5,-3.225
Tampico,Mexico,22.3,-97.87
Jiaozuo,China,35.25,113.22
Padang,Indonesia,-0.96,100.36
